ID,Harvester Config,Parser Config,Records Per Granule
CE05MOAS-GL001,"directory: /whoi/cg_whoi/OMC/CE05MOAS-GL319/D00001/merged-from-glider, pattern: ce_319_*.rtime.mrg,frequency: 300",,50
CE05MOAS-GL001-01-PARADM999,"directory: /whoi/cg_whoi/OMC/CE05MOAS-GL319/D00001/merged-from-glider, pattern: ce_319_*.rtime.mrg,frequency: 300",,50
CE05MOAS-GL001-02-FLORTM999,"directory: /whoi/cg_whoi/OMC/CE05MOAS-GL319/D00001/merged-from-glider, pattern: ce_319_*.rtime.mrg,frequency: 300",,50
CE05MOAS-GL001-04-DOSTAM999,"directory: /whoi/cg_whoi/OMC/CE05MOAS-GL319/D00001/merged-from-glider, pattern: ce_319_*.rtime.mrg,frequency: 300",,50
CE05MOAS-GL001-05-CTDGVM999,"directory: /whoi/cg_whoi/OMC/CE05MOAS-GL319/D00001/merged-from-glider, pattern: ce_319_*.rtime.mrg,frequency: 300",,50
CE05MOAS-GL002,"directory: /whoi/cg_whoi/OMC/CE05MOAS-GL312/D00001/merged-from-glider, pattern: ce_312_*.rtime.mrg,frequency: 300",,50
CE05MOAS-GL002-01-PARADM999,"directory: /whoi/cg_whoi/OMC/CE05MOAS-GL312/D00001/merged-from-glider, pattern: ce_312_*.rtime.mrg,frequency: 300",,50
CE05MOAS-GL002-02-FLORTM999,"directory: /whoi/cg_whoi/OMC/CE05MOAS-GL312/D00001/merged-from-glider, pattern: ce_312_*.rtime.mrg,frequency: 300",,50
CE05MOAS-GL002-04-DOSTAM999,"directory: /whoi/cg_whoi/OMC/CE05MOAS-GL312/D00001/merged-from-glider, pattern: ce_312_*.rtime.mrg,frequency: 300",,50
CE05MOAS-GL002-05-CTDGVM999,"directory: /whoi/cg_whoi/OMC/CE05MOAS-GL312/D00001/merged-from-glider, pattern: ce_312_*.rtime.mrg,frequency: 300",,50
CE05MOAS-GL003,"directory: /whoi/cg_whoi/OMC/CE05MOAS-GL386/D00001/merged-from-glider, pattern: ce_386_*.rtime.mrg,frequency: 300",,50
CE05MOAS-GL003-01-PARADM999,"directory: /whoi/cg_whoi/OMC/CE05MOAS-GL386/D00001/merged-from-glider, pattern: ce_386_*.rtime.mrg,frequency: 300",,50
CE05MOAS-GL003-02-FLORTM999,"directory: /whoi/cg_whoi/OMC/CE05MOAS-GL386/D00001/merged-from-glider, pattern: ce_386_*.rtime.mrg,frequency: 300",,50
CE05MOAS-GL003-04-DOSTAM999,"directory: /whoi/cg_whoi/OMC/CE05MOAS-GL386/D00001/merged-from-glider, pattern: ce_386_*.rtime.mrg,frequency: 300",,50
CE05MOAS-GL003-05-CTDGVM999,"directory: /whoi/cg_whoi/OMC/CE05MOAS-GL386/D00001/merged-from-glider, pattern: ce_386_*.rtime.mrg,frequency: 300",,50
CP05MOAS-GL001,"directory: /whoi/cg_whoi/OMC/CP05MOAS-GL001/D00001/merged-from-glider, pattern: cp_374_*.mrg,frequency: 300",,50
CP05MOAS-GL001-05-PARADM999,"directory: /whoi/cg_whoi/OMC/CP05MOAS-GL001/D00001/merged-from-glider, pattern: cp_374_*.mrg,frequency: 300",,50
CP05MOAS-GL001-02-FLORTM999,"directory: /whoi/cg_whoi/OMC/CP05MOAS-GL001/D00001/merged-from-glider, pattern: cp_374_*.mrg,frequency: 300",,50
CP05MOAS-GL001-04-DOSTAM999,"directory: /whoi/cg_whoi/OMC/CP05MOAS-GL001/D00001/merged-from-glider, pattern: cp_374_*.mrg,frequency: 300",,50
CP05MOAS-GL001-03-CTDGVM999,"directory: /whoi/cg_whoi/OMC/CP05MOAS-GL001/D00001/merged-from-glider, pattern: cp_374_*.mrg,frequency: 300",,50
CP05MOAS-GL002,"directory: /whoi/cg_whoi/OMC/CP05MOAS-GL002/D00001/merged-from-glider, pattern: cp_379_*.mrg,frequency: 300",,50
CP05MOAS-GL002-05-PARADM999,"directory: /whoi/cg_whoi/OMC/CP05MOAS-GL002/D00001/merged-from-glider, pattern: cp_379_*.mrg,frequency: 300",,50
CP05MOAS-GL002-02-FLORTM999,"directory: /whoi/cg_whoi/OMC/CP05MOAS-GL002/D00001/merged-from-glider, pattern: cp_379_*.mrg,frequency: 300",,50
CP05MOAS-GL002-04-DOSTAM999,"directory: /whoi/cg_whoi/OMC/CP05MOAS-GL002/D00001/merged-from-glider, pattern: cp_379_*.mrg,frequency: 300",,50
CP05MOAS-GL002-03-CTDGVM999,"directory: /whoi/cg_whoi/OMC/CP05MOAS-GL002/D00001/merged-from-glider, pattern: cp_379_*.mrg,frequency: 300",,50
CP05MOAS-GL003,"directory: /whoi/cg_whoi/OMC/CP05MOAS-GL003/D00001/merged-from-glider, pattern: cp_387_*.mrg,frequency: 300",,50
